# RUN  NP   E_e       dE_e   S_e       dS_e     E_p       dE_p   S_p       dS_p   
   1    1    1838.287  0.151  1981.987  224.258  1839.702  0.179  1375.461  248.124
   2    1    1838.487  0.094  1105.940  138.215  1839.811  0.104  1168.018  143.070
   3    3    1841.518  0.100  1090.392  164.079  1841.398  0.083  1005.375  123.667
   4    5    1843.398  0.090   894.131  130.846  1842.974  0.081   724.183  113.153
   5    7    1844.210  0.111  1499.603  157.107  1844.090  0.144   691.589  192.331
   6    9    1848.760  0.102  1531.254  144.732  1848.114  0.173  1501.872  264.135
   7    1    1838.751  0.090  1255.943  127.352  1838.102  0.074   802.614  129.855
   8    2    1841.212  0.093  1245.044  131.707  1840.749  0.075  1106.174  117.026
   9    4    1842.078  0.083  1123.771  127.903  1841.715  0.079  1124.280  129.031
  10    5    1843.323  0.088  1284.179  133.613  1842.886  0.075  1142.601  105.495
  11    6    1844.024  0.118  1204.777  164.424  1843.301  0.082  1148.620  128.038
  12    8    1845.320  0.083  1125.115  119.836  1844.833  0.075  1015.373  115.660
  13    9    1846.910  0.105  1337.914  146.180  1846.416  0.083  1133.242  128.261

 
